iter	Passed	Remaining
872	2011	292
873	2013	290
874	2016	288
875	2018	285
876	2020	283
877	2023	281
878	2025	278
879	2028	276
880	2030	274
881	2033	272
882	2035	269
883	2037	267
884	2039	265
885	2042	262
886	2044	260
887	2046	258
888	2048	255
889	2051	253
890	2053	251
891	2055	248
892	2057	246
893	2059	244
894	2061	241
895	2064	239
896	2066	237
897	2068	234
898	2070	232
899	2072	230
900	2075	228
901	2077	225
902	2079	223
903	2081	221
904	2083	218
905	2086	216
906	2088	214
907	2090	211
908	2093	209
909	2095	207
910	2097	204
911	2099	202
912	2101	200
913	2104	198
914	2106	195
915	2108	193
916	2110	191
917	2113	188
918	2115	186
919	2117	184
920	2119	181
921	2122	179
922	2124	177
923	2126	174
924	2129	172
925	2131	170
926	2157	169
927	2165	167
928	2170	165
929	2175	163
930	2179	161
931	2183	159
932	2186	157
933	2189	154
934	2192	152
935	2214	151
936	2223	149
937	2232	147
938	2240	145
939	2245	143
940	2250	141
941	2253	138
942	2257	136
943	2260	134
944	2263	131
945	2266	129
946	2269	126
947	2271	124
948	2274	122
949	2277	119
950	2280	117
951	2282	115
952	2284	112
953	2287	110
954	2289	107
955	2291	105
956	2293	103
957	2296	100
958	2298	98
959	2300	95
960	2302	93
961	2304	91
962	2306	88
963	2309	86
964	2311	83
965	2313	81
966	2315	79
967	2317	76
968	2319	74
969	2321	71
970	2324	69
971	2326	67
972	2328	64
973	2330	62
974	2332	59
975	2334	57
976	2336	55
977	2338	52
978	2340	50
979	2343	47
980	2345	45
981	2347	43
982	2349	40
983	2351	38
984	2353	35
985	2356	33
986	2358	31
987	2360	28
988	2362	26
989	2364	23
990	2366	21
991	2368	19
992	2370	16
993	2372	14
994	2375	11
995	2377	9
996	2379	7
997	2381	4
998	2383	2
999	2385	0
